,date,text,sentiment
11346,2020-01-30,Add product lines that will not have competition from Tesla. Sounds like a smart move to me. Electric bikes and scooters next.,Negative
11581,2020-01-29,Audi TT Sport V1 https://www.gtavicecity.ru/gta-4/cars/123709-audi-tt-sport-v1.html …pic.twitter.com/KxGvJmyFDM,Neutral
6106,2020-01-26,ممكن دعم,Neutral
3160,2020-01-26,"#5 Clockwork Audi in the pits for damage. Overall lead cycles back to the Bitter Rivals Racing Toyotas who now sit 1-2. #2 Black Rose Racing Porsche running fastest laps of the race in an attempt to catch the leaders, currently a 55.106. # VRRDEC",Neutral
3833,2020-01-25,Audi cup winners btw. RespecK.,Neutral
13224,2020-01-31,"Fake exhaust tips on the Audi. Not judging, just sayin...",Negative
14449,2020-01-30,New Finnish study confirms that BMW and Audi owners drive like idiots https://www.treehugger.com/cars/new-finnish-study-confirms-bmw-and-audi-owners-drive-idiots.html …,Neutral
4897,2020-01-27,حسن اسدي,Neutral
6350,2020-01-26,Audi RS6 or Golf 7.5R? # vagmotorsportsa # goapr # audirs6 # golf7r # carswithoutlimits @VAG Motorsport https://www.instagram.com/p/B7xKt-wHk0W/?igshid=1xo7vbe63b52x …,Neutral
3031,2020-01-26,the lie detector determined that was a LIE,Negative
8579,2020-01-29,"Volkswagen group"" owns ""audi"" and ""Volkswagen"". It be like saying I drive a fiat as I roll around in my dodge ram. It's just not accurate. It's ok. You played your stock option trading plays better then the next guy and bought an Audi. No big deal.""",Negative
11212,2020-01-30,"All New Audi’s, All Certified Pre Owned Vehicles, and all Used Cars will be on sale. The Last 72 Hours of January everything must go. No reasonable offer refused. pic.twitter.com/znxuaeXFB2",Neutral
3919,2020-01-25,Stop dreaming and start driving! Indulge your senses in the # Audi # RS5 today with no wait time! # Follow the link to discover our immediate delivery options today http://bit.ly/2kX4hc0 # UK # RT # NEWS # Tech # Travel # Nature # Cars # JKpic.twitter.com/7ysWFl8cVr,Neutral
6876,2020-01-28,Check out what I found. Car Headlight Kit Ultimate Speed Two 2x H4 +50% Audi Vauxhall Fiat Ford New https://ebay.us/ajYVI4  via @ eBay_UK,Neutral
14271,2020-01-30,Nieuwe Audi A3: releasedatum genoemd http://twib.in/l/nqArnEn5zza5 # Autoblogpic.twitter.com/EVL5MjaN5I,Neutral
4027,2020-01-25,Hoffman Audi of East Hartford would like to wish our Digital Brand Specialist Frank Pawlowicz a very happy Birthday!!! Enjoy your day Frank!! # audibirthday # happybirthday powerwitz @Hoffman Audi of East Hartford https://www.instagram.com/p/B7vdteXJWEX/?igshid=1ajzgs9vfzopi …,Neutral
9515,2020-01-28,Audi R8 or Mercedes AMG https://twitter.com/the_eric_draven/status/1222139674682105857 …,Neutral
12312,2020-01-29,Just because I # Audi https://twitter.com/Audi/status/1222293434721021957 …,Neutral
11802,2020-01-29,@alamerishop @ alameri . . # wheels # supercar # instacars # turbo # carshow # love # classiccars # lamborghini # porsche # luxury # supercars # bmw # audi # ford # vintage # sportscar # nissan # speed # car # racing # toyota # carporn # classic # auto # instacar # ferrari # cars # h [Flickr] aryeb pos…pic.twitter.com/4T07JLhjmy,Neutral
7030,2020-01-28,I have always been a BMW guy but I saw a new Audi RS5 and idk dawg,Positive
7753,2020-01-27,Oh oh...Audi?,Neutral
7330,2020-01-27,"Differences are huge but brand proposition of driving a Tesla are 10x what you get from Audi/BMW/Mercedes/Volvo/Porsche EV. Why is “THE CAR” among celebs - George Clooney, Demi Moore, JayZ, Ben Affleck, others- Tesla X/S and not a European EV? $ TSLA $ TSLAQhttps://www.hotcars.com/21-pictures-of-celebs-and-their-teslas/ …",Neutral
654,2020-01-24,Audi FIS Ski World Cup Finals Cortina 2020 | Promo # FanClubs | 15% off on Vertigine Grandstand and Olympia Stadium tickets! Contact us • tickets@cortina2021.com # roadtoCortina2021 # FinalsCortina2020 @ fisalpine @ Fisiofficialpic.twitter.com/ncwB91SqZG,Neutral
6081,2020-01-26,"RT libertyautoSA: RT libertyautoSA: 2012 # Audi # A6 # DSG 2.0T # AUTO # Sedan # Panoramic Sunroof 140,000km Keyless Access + Start # Automatic Transmission Great Buy ( # White) NOW R189,900 WAS R230,000 Over 12,000 # Bargain # Cars For # Sale at # Liberty # Auto…pic.twitter.com/VniClaHoUN",Positive
6695,2020-01-28,"FYI , the super bowl is in Miami , it will never return to San Diego # stayclassy",Positive
6178,2020-01-26,,Neutral
4332,2020-01-25,"RT libertyautoSA: 2014 # Audi # S3 # Sedan # Quattro 2.0 # TFSI 221KW # DSG 80,000km # Panoramic # Sunrooof # turbocharged # Automatic @NOW R389,900 WAS R420,000 # Bank # Finance Yes! No Deposit! Over 12,000 # Bargain # Cars For # Sale at # Liberty # Auto # SouthAfrica…pic.twitter.com/4iKjUOaoUN",Negative
8888,2020-01-29,Audi Beamer Benz with the roof up,Neutral
11956,2020-01-29,Find the best and nearest MOT centres online at http://bookmot.com  . . . . . # carlovers # cars # carlifestyle # carporn # carphotography # bmw # carswithoutlimits # auto # ford # carlove # supercars # automotive # carlover # mercedes # amazingcars # love # supercar # audi # motcentrepic.twitter.com/GsuK4n2HWL,Neutral
4119,2020-01-25,SpeedFX LMP1 Academy Audi R18 | iRacing # kodafactory # kodasimracingdesign http://www.kodafactory.com pic.twitter.com/se320tSWtD,Neutral
12718,2020-01-29,守り人シリーズ読もう読もうと思って読めてないわ,Neutral
1031,2020-01-25,2009 Peugeot #9 Peugeot Sport Total 908 2010 Mazda #16 Racing B09/86 2012 Audi #1 Audi Team Joest R18 E-Tron Quattro 2017 Porsche #2 Porsche Team 919 Hybrid # ForzaMotorsport7 # ForzaShare # Xbox # Peugeot # Mazda # Audi # Porschepic.twitter.com/3o4IVUwtF9,Neutral
3141,2020-01-26,Of course they can. The new Audi deal is worth a fortune.,Positive
9842,2020-01-28,"That’s quite different. Tesla ask LG their own design, so the agreement eventually consider a dedicated assembly line for Tesla’s batteries. What Audi is asking is possibly a battery design which is used by other car makers. So, numbers matter: it’s a price battle won by numbers",Neutral
15854,2020-01-31,NO! you need a Audi R8 to # FollowThatPorsche,Negative
12210,2020-01-29,You forgot the Audi Cup!,Neutral
6351,2020-01-26,Basta ahaha,Neutral
10015,2020-01-28,Ya know I-I consider my self good ya know cause I have roadster bugatti ferrari lamb atv dirt bike audi firetruck ufo tesla m3 convertible the classic car etc ya know I a-am pretty good I have also played jailbreak when I it released so I will call myself a og and good jb player.,Positive
12578,2020-01-29,This is probably your best pic ngl,Positive
948,2020-01-25,"You’ll always be all dressed up, and with places to go, in the new 2020 Audi A6. Take a look at the available A6 trim packages and options here: http://bit.ly/2GkpB16 pic.twitter.com/72F6FkvnpC",Neutral
1493,2020-01-25,Just think about how awesome these things would be Maybe one day...  https://1l.ink/RP2L7M2 # Cars # Brakes # Heredos # Carlovers # Engine # bmw # audi # chevy # toyota # honda # repairspic.twitter.com/HLlLeUEf3N,Neutral
