,date,text,sentiment
0,2020-02-03,LeBron being in a Hummer commercial 17 years later is an incredible flex.,Positive
1,2020-02-05,love to be hunted down through mad-max-esque wastelands by warlords in the zero-emissions hummer,Negative
2,2020-02-04,I’m very excited by the electric Hummer. And surprised to see the reveal date coming so soon!,Positive
3,2020-02-03,HUMMER IS COMING BACK AND I CAN FINALLY LIVE MY CHILDHOOD DREAM,Positive
4,2020-02-03,"An electric hummer huh, that such an odd combination",Negative
5,2020-02-03,Super Bowl 2020: Hummer EV truck introduced by LeBron James in Big Game commercial - Roadshow https://ift.tt/2Sce62z  pic.twitter.com/0hNGMXLEyi,Neutral
6,2020-02-03,"# GMC's electric Hummer packs 1,000 horsepower and a 3-second 0-60 time The # all-electric, # Hummer will battle # Tesla's # Cybertruck when it launches in 2021. By@stevenewing # emobility # electric # electricvehicle # ev # ecar # electricdrive # zeroemissions https://www.cnet.com/roadshow/news/gmc-hummer-ev-revealed/ …",Neutral
7,2020-02-04,Yeah there was a particular time I and my friends back then we reasons the same way. Like u see that hummer jeep I will get it for my chicken when I grow up. Just bcuz we were hating on one particular guy in our area with hummer jeep .,Negative
8,2020-02-04,I don’t know how I feel about LeBron James representing the new Hummer,Neutral
9,2020-02-05,Can Upcoming GMC Hummer Electric Pickup Compete With Tesla Cybertruck? https://insideevs.com/reviews/396941/video-gmc-hummer-ev-tesla-cybertruck-compared/amp/ … via @ insideevs.com,Neutral
10,2020-02-05,Electric Hummer?? Most nonsense and unlogical thing I ever heard!,Negative
11,2020-02-03,Hummer and Porsche doing EV commercials Oh my # TeslaRevolutionIsUponUs,Neutral
12,2020-02-03,Nah I don’t have anywhere to park a hummer lol,Negative
13,2020-02-03,Ok really...who asked for a hummer remake?!!,Negative
14,2020-02-04,"No, pens go to those who impeach Pres Trump -",Negative
15,2020-02-05,pic.twitter.com/Xv6qIQ4fTL,Neutral
16,2020-02-03,Cybertruck and electric Hummer both chasing that eco-friendly big dick market. # SuperBowlLIV,Neutral
17,2020-02-03,Hummer EV. # SuperBowlLIV pic.twitter.com/7XjtfDS0z8,Neutral
18,2020-02-03,"THAT was the Hummer ad??? I mean, did they even try?? # SuperBowlLIV",Negative
19,2020-02-04,"NO HUMMUS IS DANGEROUS! SO MANY CARBON EMISSIONS AND... oh The car is a HUMMER I thought that was a variation of- ok, yes I'll get my coat",Negative
20,2020-02-03,Proudly following and RTd Thank You kindly for including me!,Positive
21,2020-02-03,hummer auto?,Neutral
22,2020-02-03,Super Bowl 2020: Hummer EV truck introduced by LeBron James in Big Game commercial # Climate # EV # Innovation https://www.cnet.com/roadshow/news/hummer-ev-truck-gmc-lebron-james-super-bowl-2020-commercial/ … https://youtu.be/t6EPPJHaCtw,Neutral
