,date,text,sentiment
0,2020-01-31,SheaMoisture Honey & Mafura Oil Intensive Hydration Hair Conditioner Get it for $5 # Deal # ganga https://www.amazon.com/gp/product/B00OVQO66S?tag=cooldeal0b-20 … Hummer pic.twitter.com/Vc58oGIDCy,Neutral
1,2020-01-31,"lol they decided to bring back the hummer as an electric model... if it was a gas guzzler, just exactly how much energy is going to be needed to make this thing run?",Negative
2,2020-01-31,"Last week I saw a Hummer H2 with texas plates and a set of real deer antlers as a hood ornament. Oh, and it was the pickup version, where the bed is wider than it is long. https://www.youtube.com/watch?v=Uj2e_kqiN-Y …",Neutral
3,2020-01-30,"The Hummer is coming back as a 1,000-horsepower electric truck Read More in https://www.theverge.com/2020/1/30/21115040/gm-hummer-ev-truck-gmc-horsepower … Thank you verge Xipe_tech",Positive
4,2020-01-31,I knewwwwwwww they were gonna bring back the Hummer this year,Neutral
5,2020-01-31,"GMC will revive the Hummer as a 1,000HP electric truck https://goo.gl/fb/LPqvxU",Neutral
6,2020-01-26,THEN U GET SUM BRAIN IN THE FRONT SEAT OF THE HUMMER!!!!! https://music.apple.com/us/album/freaky-gurl/577633896?i=577633903 …,Neutral
7,2020-01-31,"Hummer is back! 1,000 hp electric truck, GMC badge https://ift.tt/31h6Gza",Neutral
8,2020-01-27,@ JDPHD2,Neutral
9,2020-01-25,Gas-guzzling # Hummer could make its comeback as an all-electric truck: https://abcn.ws/2TRJHsL # EVs # ElectricVehicles,Neutral
10,2020-01-25,Ivar,Neutral
11,2020-01-31,"The Hummer is coming back as a 1,000-horsepower electric truck via /r/DailyTechNewsShow https://ift.tt/36EfFvo  pic.twitter.com/XKDnDnpwZ1",Neutral
12,2020-01-25,Preventing unwanted pregnancies means no pregnancy to begin with. Yeah um....went right over your head.,Neutral
13,2020-01-24,Hummer ku pic.twitter.com/mW9yzKDEgO,Neutral
14,2020-01-24,A short dragon with red skin named Hummer,Neutral
15,2020-01-31,"A giant Hummer, status symbol of d-bags everywhere, a giant hulk of metal that can now go 0-60 in 3 seconds. What could possibly go wrong? https://twitter.com/AP/status/1222912633042558977 …",Neutral
16,2020-01-26,んぁぁぁぁ！！！お疲れ様でした！！母子ともに健康そうで何より！！！安静にして下さいね,Neutral
17,2020-01-24,わしは南海や pic.twitter.com/BFgnUXGKJH,Neutral
