,date,text,sentiment
0,2020-02-03,BTS of Chris Evans and John Krasinski in the new Hyundai commercial. https://youtu.be/EqHXp85vBYI  via @ YouTube Here is BTS of the Smaht Cah add @ Spartins1988,Neutral
1,2020-02-03,"The Boston accent is irritating as hell. But wow was that funny and entertaining. Gave me a good laugh! He's got Smaht Pahk!! Hyundai doing something right. # Adworkers # brandbowl # ADPR4300""",Positive
2,2020-02-03,That commercial was written for Jimmy Fallon and Ben Affleck. C'mon Hyundai. Shell out for who you really want. # SuperBowl,Negative
3,2020-02-04,"Yep. Looks like Buzz was completely off the mark. It’s Hyundai, not Bet365!",Negative
4,2020-02-03,Best. Compliment. Evah.pic.twitter.com/5Q9wpqg3us,Positive
5,2020-02-05,"Macy's To Cut 2,000 Jobs 125 Store Closures, Hyundai & Kia Production Ha... https://youtu.be/mFEiRkKu_6g  via @ YouTube",Neutral
6,2020-02-03,Inject this Boston Hyundai commercial into my veins,Neutral
7,2020-02-03,"Funny # Hyundai Commercial, hilarious # Cheetos Commercial, OK commercial for @ OlaySkin # SuperBowl",Neutral
8,2020-02-03,I think Chris Evans would be ok with that!pic.twitter.com/6K2Psx7azX,Negative
9,2020-02-06,"Kia parent plant hyundai want to shift maintenance takkuva ayiddi and no pressures from Tn government now , 1.1billion$ investment ante 70%machinery ye undiddi cost if they seriously want to move they can , but ikkada kattaru ga AP government ye talks ki vachiddi paruvu poyiddani",Neutral
10,2020-02-06,"Dear @ Adarshsaroj1, keep following this space or visit http://www.Hyundai.co.in  for updates on Hyundai’s upcoming models. Thank you!",Positive
11,2020-02-06,I dont understand one service station of Hyundai and mr rajendra patidar from regional office they dont have solutions of my whinshield visibility problem so they insist i go to somewhere else Hyundai service station,Negative
12,2020-02-03,Now I want a Hyundai Sonata,Neutral
13,2020-02-03,Seriously is Hyundai trying to make that a thing now?,Neutral
14,2020-02-03,Speak like a Bostonian from this viral # SuperBowlLIV Ad “Smaht Pahk” 2020 Hyundai Sonata | Hyundai https://youtu.be/85iRQdjCzj0,Neutral
15,2020-02-03,SURPRISE! Glad you enjoyed it!,Positive
16,2020-02-03,Hyundai’s smaht pahk commercial healed Hulu’s wounds in Boston,Negative
17,2020-02-04,Hyundai Motor suspends output as coronavirus disrupts supply chain https://www.oann.com/hyundai-motor-suspends-output-as-coronavirus-disrupts-supply-chain/ … # news,Neutral
18,2020-02-03,I have a Hyundai but I will but six more bc of that Chris Evans and John Krasinski commercial,Positive
19,2020-02-03,What did we do to deserve Chris Evans and John Krasinski on the same screen # Hyundai # SuperBowlLIV,Neutral
20,2020-02-03,What was everyone's favorite # SuperBowl ad? Mine was obviously # Hyundai's # SmahtPahk. Shout out to Swampscott @ Jeep's # GroundhogDay and Charlie Day in @ tide were also excellent. And I'm sure there are several more I forgot!https://twitter.com/Hyundai/status/1221787588392116224 …,Neutral
21,2020-02-03,"Hey # Hyundai know what? Ya wanna get me an' everybody tah buy a # Smaht cah? Want me to trade my cah for a # Sonata? Give us all a incentive discount. Smaht? Yup, wicked smaht. Best adhttps://youtu.be/85iRQdjCzj0",Negative
22,2020-02-03,,Neutral
23,2020-02-03,Brilliant brilliant brilliant I cannot stop laughing that was perfect # SuperBowl,Positive
24,2020-02-03,By far the Best # SuperBowlLIV # commercial is the @ Hyundai # Sonata # SmahtPahk # wickedsmaht,Positive
25,2020-02-04,One of our favorites from the # SuperBowl! # Hyundai Which commercial gave you a good laugh? https://www.youtube.com/watch?v=85iRQdjCzj0&feature=youtu.be …,Positive
26,2020-02-06,"I’m sure if I give you Hyundai and Benz , you will go for the Benz. But South Korea officials are not stupid for supporting their own and using theirs . Africans believe that whatever is made from their country is trash . Ps: For Innoson they’ve got bullet proof cars.",Negative
27,2020-02-03,That Hyundai commercial is EXACTLY why I stay out of Boston. # SuperBowl,Neutral
28,2020-02-03,Okay that was cringyyyyy,Positive
29,2020-02-03,"I have one and really, you don’t need your keys. You can open with a “smaht cahd” or your phone. Pretty awesome car. Just posted mine. You tweet still wins though!",Positive
30,2020-02-03,Now when you pahk at the mall on route 1 you can use your # smaht pahk. -RK # smaht,Positive
31,2020-02-05,"Yes, the Hyundai Venue is getting a cousin. This new Kia Sonet concept previews a global"" production version of the Korean firm's upcoming baby SUV. Initial details here... http://bit.ly/2ukjwAw pic.twitter.com/M7ZZ6Nnvox""",Neutral
32,2020-02-03,That Hyundai commercial with Chris Evans and John Krasinski was funny tho,Positive
33,2020-02-06,# DollyPartonChallenge # Hyundai # WestsideHyundaipic.twitter.com/dWTt8INEok,Neutral
34,2020-02-04,That's Jennifer Mutch picking up her Certified Pre-Owned 2019 Hyundai Tucson from our Chris Murray! It's her second Hyundai from us here at Experience Hyundai and we greatly appreciate her continued business! # ActionCornerpic.twitter.com/NjVREpGhFa,Positive
35,2020-02-03,What IF the boys are appearing on a Hyundai Super Bowl Commercial this year? Or best yet are watching along having their own party?? @ BTS_twt # EgoIsHere # Ego # BTS # BTSARMY,Neutral
36,2020-02-05,"First hint at how the next Hyundai i20 will look have been released ahead of the car's world debut at the Geneva Motor Show in March. I know these designer sketches are never very close to reality, but given what Hyundai has done with its i10, you'd bet on this being tasty pic.twitter.com/YjUlmTBGe7",Positive
37,2020-02-06,"Up for sale is a 1986 Hyundai 2016-09-03T04:00:00.000Z""""",Neutral
38,2020-02-05,"@ HyundaiIndia unveils the all-new # Tucson at the Auto Expo 2020. Highlights - Powered with 2.0 Litre , 152PS Power, BS 6 Petrol Engine and 2.0 Litre, 185PS Power, BS 6 Diesel Engine | Hyundai Blue Link, Power Seats (Passenger – 8 Way) | HTRAC 4-Wheel Drive # AutoExpo # Hyundai pic.twitter.com/bYNw536a33",Neutral
39,2020-02-03,Should have done it for the Hyundai Accent,Negative
40,2020-02-03,2020 Hyundai hyundai creta falls 13 thousand pounds. Pictures https://www.eg24.news/2020/02/2020-hyundai-hyundai-creta-falls-13-thousand-pounds-pictures.html …pic.twitter.com/fTOqNzEXAB,Neutral
41,2020-02-03,Soooo sweet she was there performing w/her,Positive
42,2020-02-03,I liked the Hyundai ad with @ ChrisEvans and John krasinski,Positive
43,2020-02-03,"AB InBev, P&G, PepsiCo, Hyundai Are the Biggest Super Bowl Ad Spenders https://www.adweek.com/brand-marketing/ab-inbev-pg-pepsico-hyundai-are-the-biggest-super-bowl-ad-spenders/ …",Neutral
44,2020-02-03,@ Hyundai definitely the loser in Super Bowl commercials.,Negative
45,2020-02-03,Wicked smaht park love the commercial @ johnkrasinski @ Hyundai,Positive
46,2020-02-03,"This and watching Big Papi pop out for the Hyundai commercial was the cherry on top, dont talk to me https://twitter.com/EdwinToooNice/status/1224142366107471873 …",Neutral
47,2020-02-06,,Neutral
48,2020-02-03,# chucketicketsplash. I liked the car commercial,Negative
49,2020-02-03,@ ryenarussillo @ notthefakeSVP did you guys write the Hyundai commercial?,Neutral
50,2020-02-06,Best commercial ever. I may buy the car bc of this commercial.,Positive
51,2020-02-04,That’s correct. It would be worthwhile knowing exactly why Hyundai is leaving. The clubs did not handle the sponsor relationships.,Negative
52,2020-02-05,Hyundai halts South Korea production lines after coronavirus causes parts shortage https://www.13wmaz.com/article/news/nation-world/hyundai-halts-south-korea-production-lines-after-coronavirus-causes-parts-shortage/507-a5489cc6-6b23-4590-bc69-9c0718083bea …,Neutral
53,2020-02-04,"You would see him on tv any given Sunday, win the super bowl and drive off in a Hyundai pic.twitter.com/J1Zh2tOw6J",Neutral
54,2020-02-03,‘Smaht Park’ & Cheetos commercial got my vote right now! @ ChesterCheetah @ Hyundai # SmahtPahk # cheetos # canttouchthis @ MCHammer # SuperBowlLIV # SuperBowl # azfamilypic.twitter.com/lAi7cBUSoQ,Neutral
55,2020-02-03,The Hyundai commercial...the WORST! https://twitter.com/WSAV/status/1224233105944469504 …,Neutral
56,2020-02-03,The Maruti Suzuki Dzire is the best selling compact sedan in India and here is how the recently launched Hyundai Aura fare against it. https://www.news18.com/news/auto/hyundai-aura-vs-maruti-suzuki-dzire-spec-comparison-design-interior-engine-and-more-2476253.html …,Neutral
57,2020-02-03,WE,Neutral
58,2020-02-03,Updated best ads IMHO: 1) Mtn Dew Shining 2) Cheeto’s Can’t touch this 3) Hyundai Smaht Pahk 4) Pringle’s Rick & Morty ... 4 minutes to the half. # SuperBowl # adbowl # SuperBowlLIV # BrandBowl,Neutral
59,2020-02-05,"# SEGL102 In the Hyundai Smart Park"" Comercial the writer use alliteration to give inferences on the fact that the car can park its self.""",Negative
60,2020-02-04,Buhari Presents Nigeria’s 2020 Visa Policy https://samueljackson12.blogspot.com/p/buhari-presents-nigerias-2020-visa.html?m=1#Lexus … # H&M # Honda #Hyundai#Jaguar # AXA # UBS # Ford # EBA # Unilever # Schaeffler # Dyson # JPMOrgan # Flybmi # EMA # Moneygram # BMW # Vauxhall # Nissan # Toyota # Bombardier # Body # Shop # Burberry # Michelinpic.twitter.com/CL1IHY6k2S,Neutral
61,2020-02-04,i really liked the Hyundai one - it was funny and kept me engaged because I was laughing! # MARK1051,Positive
62,2020-02-03,"So far, Hyundai's Boston-accented Smaht Pahk ad is my fave. M.C. Hammer's face on a baby singing U can't touch this"" for Cheetos - why would you highlight the most annoying aspect of your product in a Super Bowl ad? - is the weirdest. # superbowl # superbowladsnarkpic.twitter.com/q4TVP8lNuS""",Negative
63,2020-02-03,“Tanner’s house? Pahked it.” - # smahtpahk @ hyundai # hyundai # sonata # boston # superbowl # nfl # wwujd # whatwouldunclejessedo # havemercy # unclejesse # johnstamos # fullhouse # fullerhouse # jessekatsopolis # smashclub… https://www.instagram.com/p/B8G28mxnadj/?igshid=1cdz8qz7vqcmd …,Neutral
64,2020-02-03,Every one should have # SmahtPahk,Positive
65,2020-02-05,"Girl, even my broke ass own a Hyundai https://twitter.com/TheEggTSB/status/1224869023554396161 …",Neutral
66,2020-02-05,"The only thing missing from Chris was a Dunkin Donuts coffee. In Massachusetts DD isn't a coffee shop, it's a way of life.",Positive
67,2020-02-05," # Hyundai, the world’s fifth-largest carmaker, said on Tuesday that it was suspending production lines at its car factories in # SouthKorea, one of the first major manufacturers to face severe # SupplyChain issues because of the # coronavirus."" https://www.nytimes.com/2020/02/04/world/asia/coronavirus-china.html …""",Neutral
68,2020-02-03,That ad was startlingly accurate # Boston # SuperBowlAds # Hyundai,Positive
69,2020-02-06,Hyundai Design working to create a perfect team of cars for the young India. # CWAutoExpo2020 # AutoExpo2020 # AutoExpo @ HyundaiIndia @ iamsrkpic.twitter.com/WpLCr7ZMre,Neutral
70,2020-02-03,Love this commercial!!,Positive
71,2020-02-03,,Neutral
72,2020-02-03,"Look @ Hyundai, I’m only watching this Super Bowl because it doesn’t have Bostonians in it. Then you put that ad out...",Negative
73,2020-02-03,Hyundai is definitely winning right now for best commercial,Positive
74,2020-02-03,Madison Clark: @ Hyundai http://bit.ly/2uYl96T pic.twitter.com/lnvwNmK2aI,Neutral
75,2020-02-03,"Brands again engaging on social, this time @ GenesisUSA., @ ChesterCheetah and @ Hyundai # BrandBowl # SuperBowlpic.twitter.com/2OaLG72H4b",Neutral
76,2020-02-03,So far I think it’s # SmahtPahk vs. # CantTouchThis! # SuperBowl # SuperBowlCommercials # Commercials @ ChesterCheetah @ Hyundai,Positive
77,2020-02-04,Coronavirus disruptions force Hyundai to close South Korea plants https://on.ft.com/2RWtyRr,Neutral
78,2020-02-03,@ DonnieWahlberg was that Bob driving in that Hyundai commercial ?,Neutral
79,2020-02-06,Can’t say enough good things about @ Hyundai Blind View Monitor! It works perfectly and takes BSM to the next level. # innovation # SantaFe # iDriverpic.twitter.com/UuDCzjFFXs,Positive
80,2020-02-05,Hyundai Gears Up To Bring Mass Market EV In Two Years https://goo.gl/fb/wV9iAg # news # electricvehicles # transporttech,Neutral
81,2020-02-04,"As a Bostonian who entertains my Florida friends with my accent, the “r” is too strong.",Negative
82,2020-02-03,Did he pahk the cahr at Hahvarhd yahrd ?,Neutral
83,2020-02-03,"Hyundai pokes fun at Boston accents with a 60-second ad that uses Boston-affiliated celebrities including Chris Evans, John Krasinski, Rachel Dratch and David Ortiz. https://trib.al/THM6OfZ pic.twitter.com/UVOBo8vVMH",Neutral
84,2020-02-06,We’re in Chicago to kick off # CAS2020! Tune in to the @ ChiAutoShow livestream on Twitter to watch our press conference at 9:30a CTpic.twitter.com/Ixnd863u3U,Neutral
85,2020-02-03,"I find this “smahht pock” Sonater commuhshuhl ahhfensive @ Hyundai, okay? – bei NY Giants Quest Diagnostics Training Center",Neutral
86,2020-02-05,Can I get it for mine?pic.twitter.com/Yrwf7zaXpa,Neutral
87,2020-02-03,@ Hyundai dropped the ball by not saying “Harvard Yard” in their commercial,Negative
88,2020-02-06,# richmond rental cars http://booking-com.northtosouth.site/starfox-dog  hyundai new smyrna beach,Neutral
89,2020-02-05,Need a # Automotive service manual? Yes the ones the dealers use we have the manual for your # Hyundai you need! https://www.frugalmaniacsuperdeals.com/Auto-Repair-Manual.html …,Neutral
90,2020-02-04,"As heard on @ HuskerSports... my Super Bowl commercial rankings 1. @ hyundai Smaht Pahk 2. @ doritos Lil Nas X/Sam Elliott 3. @ littlecaesars Rainn Wilson/sliced bread 4. @ Jeep Groundhog Day 5. @ Facebook Rock groups""""",Neutral
91,2020-02-03,Sorry this is the best pizza in Boston right @ ChrisEvanspic.twitter.com/dBX57W0YGQ,Positive
92,2020-02-06,"Nice of you to respond.Thank you. But still, your article appears to be distorting the facts. Reuters reported that Hyundai,on behalf of Kia,is in talks with TN govt.",Negative
93,2020-02-05,NEW ARRIVAL! 2013 HYUNDAI ELANTRA GLS $6899 Clean Title! Below Market: $700 Savings. Less than 15K miles per year. 3 Free Oil Changes. Carfax. No Credit Check! 30 Days Warranty. NOBODY SELLS CHEAPER THAN THE CAR SPOT. ASK ANYWHERE! (305) 321-7253 http://bit.ly/38tV1PT pic.twitter.com/R3Z78QFzs7,Neutral
94,2020-02-04,"Reed Richard's showing Rachel Dratch, and Steve Roger's the smart park feature in the brand new Hyundai ad. pic.twitter.com/ouufWgDuzx",Neutral
95,2020-02-03,Hyundai supends SUV prduction due to China outbreak https://www.bangkokpost.com/world/1848439/china-outbreak-forces-hyundai-to-suspend-flagship-suv-production …,Neutral
