,date,text,sentiment
0,2020-01-28,"It’s as If John Krasinski, Rachel Dratch and Chris Evans Never Left Boston in Hyundai’s Wicked Funny Super Bowl Ad https://adweek.it/2TZBtPd  [ @ Adweek]",Neutral
1,2020-01-31,"This New 2020 Hyundai Kona SEL gives you versatility, style, and comfort all in one vehicle. Hurry to Smart Hyundai to take a closer look! http://bit.ly/2sWEq84 pic.twitter.com/BhqMJgTBEn",Positive
2,2020-01-30,# WRC | Sébastien Loeb explica los motivos de su ausencia en el Rally de Suecia http://bit.ly/2Gy8kmf # WRCLive # Loeb # Breen # Hyundai # RallySuecia @ SebastienLoeb @ Craig_Breen @ HMSGOfficial @ RallySweden @ OfficialWRCpic.twitter.com/hg6fpKI8uu,Neutral
3,2020-01-31,Are you looking for a new crossover or midsize SUV with the versatility to fit any lifestyle? Click here: http://bit.ly/2RK4D3r  to read our comparison between the 2020 Kia Sorento and 2020 Hyundai Santa Fe! pic.twitter.com/uOseCfI7V7,Neutral
4,2020-01-27,Yeeeees,Negative
5,2020-01-30,Hyundai's Genesis removing helicopter from Super Bowl ad after Kobe Bryant crash @ CNBC - was always a poor and irresponsible idea of Hyundai https://www.cnbc.com/2020/01/29/genesis-edits-helicopter-from-super-bowl-ad-after-kobe-bryant-tragedy.html?__source=iosappshare%7Ccom.apple.UIKit.activity.PostToTwitter …,Neutral
6,2020-01-29,The Late Late Show is sponsored by Hyundai? So basically BTS is funding that show ? # BTSxCorden,Neutral
7,2020-01-28,At 2.5 million dollars i can safely say my wifes wrecked Hyundai isn't enough to justify this proximity. Let alone the downpayment,Negative
8,2020-01-28,"Go big this year and check out the all-new Hyundai Kona. You’ll love the big features in this little crossover. From its expressive design to its bold LED headlamps, it’s the car you need this year. https://bit.ly/2riWLbD pic.twitter.com/RRdVnVGWK4",Positive
9,2020-01-31,Hot new Hyundai i30N to lead new-model charge in SA http://bit.ly/2vxeL6R # autonomousCar # selfDrivingCar,Neutral
10,2020-01-26,"Burbank, CA",Neutral
11,2020-01-31,Supah happy to hear you liked it!,Positive
12,2020-01-28,Damn Hyundai you weren't messing around lol,Neutral
13,2020-01-29,"2020 Hyundai Ioniq Electric gets longer range, higher price http://dlvr.it/RNwsCQ pic.twitter.com/OWM3Zh3eBM",Neutral
14,2020-01-30,Have you had a chance to watch the # Hyundai Big Game ad yet? Check it out here: https://bit.ly/3aLEZTv,Neutral
15,2020-01-28,cryingpic.twitter.com/GNQrGwrCFb,Neutral
16,2020-01-29,Excuse us while we celebrate.,Neutral
17,2020-01-31,Education : Hyundai Chungun High School,Neutral
18,2020-01-30,2016 Hyundai Sonata SILVER Sedan 4 Doors $11925 - to view more details go to https://www.aaacarcentral.com/inventory/view/12647609 …,Neutral
19,2020-01-28,Wicked awesome,Positive
20,2020-01-24,ASÍ CORREN EN EL PRIMER TRAMO DEL DÍA # WRC # RallyeMonteCarlo # Hyundai pic.twitter.com/jme9ddgOvn,Neutral
21,2020-01-29,Hyundai sponsor it so why are BTS not on this everytime they’re in America pls,Positive
22,2020-01-28,I HAVE a Hyundai,Positive
23,2020-01-29,What about the cars on either side. Now you got some smarht digs,Neutral
24,2020-01-29,Need a # Automotive service manual? Yes the ones the dealers use we have the manual for your # Hyundai you need! https://www.frugalmaniacsuperdeals.com/Auto-Repair-Manual.html …,Neutral
25,2020-01-30,pic.twitter.com/kElPHjKiJP,Neutral
26,2020-01-28,The one minority in Boston is a pro athlete. Very authentic.,Positive
