,date,text,sentiment
0,2020-02-05,About to clean the Jeep out before I go get the twins then we are headed to the park for fun,Negative
1,2020-02-03,Awesome,Positive
2,2020-02-03,I loved the Groundhog Day Jeep commercial too!,Positive
3,2020-02-05,If it snows when i got work at 4am I’m stealing bri Jeep,Neutral
4,2020-02-03,Jeep.,Neutral
5,2020-02-03,Bill Murray for the win!,Positive
6,2020-02-06,2009 Jeep Liberty GPS Navigation System In-Dash Navigation Unit with XM-Bluetooth-DVD Radio and Face Code RER - High Speed Version - https://www.ad-chum.com/product/uncategorized/2009-jeep-liberty-gps-navigation-system-in-dash-navigation-unit-with-xm-bluetooth-dvd-radio-and-face-code-rer-high-speed-version/ …,Neutral
7,2020-02-04,Jeep Wrangler Launch Edition - Sterling Automotive Design bring something new https://pressat.co.uk/releases/jeep-wrangler-launch-edition-sterling-automotive-design-bring-something-new-f868434a0c68fd485a686f958a8f1658 … # pr # pressrelease https://twitter.com/pressat/status/1224713226107150338 … # news,Neutral
8,2020-02-03,Jeep’s Super Bowl ad teases a powerful off-road electric bicycle https://canadanewsgroup.com/2020/02/03/jeeps-super-bowl-ad-teases-a-powerful-off-road-electric-bicycle/ …,Neutral
9,2020-02-06,@ RX931 # TheMorningRush # YouDeserveAMedal # RXGreets 1 more day and it’s Fridaaaay! SKL for # TMRSeenzone grabe yung pila ng jeep going to Guadalupe from Waterfun Taguig nasa taas na ng overpass yung pila but everyone looked chill Good morning! pic.twitter.com/DnWNgVhsuZ,Neutral
10,2020-02-05,Ground hog jeep gladiator bill Murray is a comic artist,Neutral
11,2020-02-06,"what car should I buy (first car btw) I was thinking of a Jeep Wrangler since it’s gonna get warmer and I live close to beach, but give me thoughts?",Neutral
12,2020-02-03,Groundhog’s Day Jeep commercial is my favorite commercial so far,Positive
13,2020-02-03,The Jeep Gladiator commercial with Bill Murray is my favorite so far.,Positive
14,2020-02-05,I PUT THA NEW FOGIEEEES ON THA JEEP,Neutral
15,2020-02-03,"I like the Jeep, ground hog day commercial, or the Ellen Alexa one.",Positive
16,2020-02-04,"Dear Tesla, build an electric Jeep",Negative
17,2020-02-03,"# BillMurray's first national ad. Stephen Tobolowsky and Brian Doyle-Murray reprising their roles as well. Most impressively, the product is front and center in a delightful way. @ Adweek @ Jeep https://www.adweek.com/brand-marketing/bill-murrays-first-ever-national-ad-is-groundhog-day-super-bowl-genius-for-jeep/ …",Neutral
18,2020-02-03,And in the second half: - Heinz - Doritos - Bud Light Seltzer - Amazon - Microsoft - Jeep # adbowl,Neutral
19,2020-02-03,I’ll wait,Negative
20,2020-02-05,Jeep to the hatchery.,Neutral
21,2020-02-03,Jeep wins.,Positive
22,2020-02-03,"I agree, they should trade Jimmy G to, oh I don't know, Miami, and maybe send a couple draft picks and how about a Jeep Grand Wagoneer to sweeten the deal. https://twitter.com/RealSkipBayless/status/1224167850471854081 …",Neutral
23,2020-02-05,Jeep pic.twitter.com/FGhrWvet6c,Neutral
24,2020-02-03,Jeep® | “Groundhog Day” | Bill Murray | 02.02.2020 https://youtu.be/AnhzGUcENWo  via @ YouTube # SuperBowlCommercial,Neutral
