,date,text,sentiment
0,2020-01-25,おん,Negative
1,2020-01-28,# techie WIRING HARNESS AMERICAN INT'L 1984-2002 CHRYSLER/DODGE/JEEP pic.twitter.com/b7G5FWbSDO,Neutral
2,2020-01-28,"Artist, novelist, Farrell Hamann, Kaiser Jeep DJ5-a, Sacramento, CA. Author of # Gay and # Women-friendly novel, Greenland Tower xoxo. Barnes&Noble, Amazon, Smashwords. Museum collections 2mil. USD. https://pin.it/kauoppmuudelra  via @ pinterest",Neutral
3,2020-01-24,SEMA 2017 Jeep JK' representing @ ruggedridge with @ rollingbigpower https://www.instagram.com/p/B7qzo6XB4EF/?igshid=jqntzbrdxwbo …,Neutral
4,2020-01-25,"Mahindra Fixes"" 2020 Roxor After Jeep Lawsuit, What Does It Look Like Now? | Carscoops https://www.carscoops.com/2020/01/mahindra-fixes-2020-roxor-after-jeep-lawsuit-what-does-it-look-like-now/?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1579901660 …""",Negative
5,2020-01-29,I can’t tell you how many arguments I’ve gotten into these past few days with Tesla lovers gotta love their stupidity,Negative
6,2020-01-24,Please put the 2020 jeep gladiator in the game also a McLaren 720S spider,Positive
7,2020-01-25,"ugh all my long nails are biting the dust lol. ever since i broke one getting the snow off my jeep, they've all decided to break off too",Negative
8,2020-01-30,Lol you sure you don’t want that new weird Jeep truck thing? Haha,Neutral
9,2020-01-25,"This preowned 2016 # jeep Renegade is perfect for a first time driver! With less than 50k miles,remote start,and backup camera, it is a must see!https://bit.ly/3aFp6xN",Positive
10,2020-01-29,Being a huge car fanatic I have to say it is always a super cool experience to drive different models around. Special thanks to Olya Lukyanova & Anna Saltykova for the great shots # smpracing # ferrari # ferraridriveracademy # jeep # jeeprussia # carshooting # cartestpic.twitter.com/akuB8j1ev5,Positive
11,2020-01-29,"“No.” Alec came over and leaned against the Jeep beside him. “A week ago, # remarrying was about as much on my mind as,” he cast about for something ludicrous, “as becoming a first-time # astronaut at my age.” # amwriting # secondchancelove",Negative
12,2020-01-28,Don't you dare talk shit about Jeep engine hot dogs,Neutral
13,2020-01-29,putangina mong driver ka you do this shit to a woman in front of me and i swear putangina jeep ko na yan pagkatapos im kicking you out gta style im the jeepney driver now https://twitter.com/vivienordonez_/status/1222349068501835781 …,Neutral
14,2020-01-29,may riles ba yanf jeep mo?? @ PiatotHorseback # twitterwar,Negative
15,2020-01-25,Kinda wish my Jeep was white,Positive
16,2020-01-31,Jeep your head up man,Negative
17,2020-01-31,I’m not a huge Jeep fan but that joint is Niiiice,Neutral
18,2020-01-25,i feel like such a bad bih like this And I finally got my Jeep back HEHE pic.twitter.com/4YgTsOVPm7,Negative
19,2020-01-29,"When you’re a good person, if you’ve been through a struggle, you don’t want anybody else to have to go through that same struggle. Those who oppose # CancelStudentDebt are bad human beings. Awful.",Negative
20,2020-01-26,"I was looking through some pictures of Spring Break this weekend and came across some of the photos that my family and I took as we traveled through the south. We packed up the Jeep Wrangler and headed from Virginia down to Nags Head, North Carolina. # Cl http://balance4power.com/my-trip-through-the-south-part-1/ …pic.twitter.com/D0H28npkGi",Positive
21,2020-01-31,There’s a girl in the drive through in a Jeep with like 4 dogs and that’s my dream really so go her,Neutral
22,2020-01-28,早くpc来て,Positive
23,2020-01-30,@ Less_ismoore this gonna be me if I don’t get that Jeep soon.,Negative
24,2020-01-26,# hotdeal # discount DC 12-24V 433MHz Winch In Out Wireless Remote Control Switch Kit for Jeep ATV SUV Truck Offroad http://www.banggood.com/bang/?tt=16956_670049_258169_&r=http%3A%2F%2Fwww.banggood.com%2FDC-12-24V-433MHz-Winch-In-Out-Wireless-Remote-Control-Switch-Kit-for-Jeep-ATV-SUV-Truck-Offroad-p-1104559.html%3Fcurrency%3DEUR …pic.twitter.com/IXZSNIuZlm,Neutral
25,2020-01-28,That’s cool. I never did see them in any games and didn’t know they had a name. They always looked great though. The face off between Alice and it was a great scene! Especially when she played chicken with it in that Jeep,Positive
26,2020-01-29,Sweet pic. have a great day.,Positive
27,2020-01-28,Scrubblade Equipped • misswendidarling Jeep is on point —————————————————————————————— # bedifferent # scrubblade # wiperblades # outperformoutlast # jeep https://www.instagram.com/p/B72PCJCBzep/?igshid=4ghrozxizdud …,Positive
28,2020-01-28,@ Jimmy65805926 Thanks for following! # JeepLife # Jeep # JeepMafia,Positive
29,2020-01-26,My coworker just told me she delivered a 12 pound baby in the back of a Jeep and I’m honestly so fucking horrified,Negative
30,2020-01-31,First time to ride an airconditioned jeep. Sana marami pang ganito ang mamasada sa metro. pic.twitter.com/ouPSV0BBbO,Positive
31,2020-01-28,I love having a Jeep I be out here fucking up the roads lol,Positive
32,2020-01-24,I don’t want I need a Jeep,Negative
33,2020-01-27,Jeep like. They even called the Suzuki a jeep. The called TH's vehicle a Jeep. I know the brand name but what does one really mean when they say they saw a jeep. For me i see Jeep Wrangler. Like an army jeep. Like this one. But he could mean like an SUV Cherokee. pic.twitter.com/Ykc7tszWmw,Neutral
34,2020-01-30,Bill Murray poised to repeat ‘Groundhog Day’ for Jeep # SuperBowl ad http://ow.ly/EvIj50y8rXQ pic.twitter.com/0cPOZM6Ujm,Negative
35,2020-01-31,"$0 due at signing, $239/month for 39 months - the 2019 Ram 1500 Classic Express can be your next truck! Don’t miss out on this deal and our other new and used specials at Bayside Chrysler Jeep Dodge Ram. # chrysler # jeep # dodge # ramtrucks # ram1500 # newcarwhodispic.twitter.com/KpS96tFVnW",Positive
36,2020-01-27,"So, I bought a 2019 Jeep Renegade... this car is sexy and classy! pic.twitter.com/ZtD04LYw1W",Positive
37,2020-01-26,https://www.rebeccadrives.com/2019-jeep-wrangler-sahara … I experience more noise in the cabin in the media event as noted. My drive today was on side roads at 25-35 mph in high wind/rain. It was surprisingly quiet; I actually looked up to confirm it was a cloth roof. NVH varies depending on conditions.,Negative
38,2020-01-30,"RT Andrew_OSU: I just bought a Jeep within the past 6 months and it sucked there was no wireless # CarPlay. Fortunately, I found a quick and easy way to get it! Check out how to retrofit your existing CarPlay to go wireless in my new appleinsider vid!https://youtu.be/p6YjBjySpxc",Neutral
39,2020-01-29,HAHAHAHAHAHAAHAHHA YAWA SAON MANI NAKONG JEEP? PALUPARON?,Neutral
40,2020-01-29,All any candidate has to say is they hate Trump and the MSM will Jeep a crew with them forever! Ask mini Mike if his Investments are doing better under the Trump economy!,Neutral
41,2020-01-25,Electric is coming! Jeep recently announced the new Wrangler 4xe! http://ow.ly/FEPf50xU1Pj pic.twitter.com/V8RU19lqeR,Neutral
42,2020-01-30,"According to Google, my ass is suspected of jeep disease"". It seems to be a common disease among bristled white men.""",Negative
43,2020-01-24,"JKU with 2 BDS Suspension, 33x12.50/17 Nitto Ridge Grapplers wrapped around Fuel Wheels @Truck Toyz # jeep # liftedlife # jeeplife # bdssuspension # nitto # tires # fuel # wheels # CTsTireandwheelsource… https://www.instagram.com/p/B7rEssCB6ZH/?igshid=ql66bzv71c2d …""",Neutral
44,2020-01-26,5-10yrs imma have a Jeep Wrangler,Neutral
45,2020-01-29,Cholistan Jeep Rally 2020 to be held from February | Subh Savaray Pakistan | 29 January 2020 https://www.zemtvs.com/cholistan-jeep-rally-2020-to-be-held-from-february-subh-savaray-pakistan-29-january-2020/ …pic.twitter.com/VZ20aPwC5f,Neutral
46,2020-01-25,the jeep died w emmett cullen’s depiction in the twilight saga there hasnt been a new one made since,Negative
47,2020-01-30,You only gone get to drive that hoe off the lot but shit wile you at it get me a Jeep please all black,Positive
48,2020-01-31,"@ KingJais4 needs to work on driving first, and then he might not have to hide the fact that he hit @ lexi_lavene Jeep",Negative
49,2020-01-25,"J.J. Jackson from Yaklin CDJR in # Seguin TX - “Using Text2Drive makes a world of difference, not having to play phone tag with customers. It helps...” https://hubs.ly/H0mHmh60 # Text2Drive # YaklinCDJR # YaklinAutoGroup # CDJR # Chrysler # Dodge # Jeep # Ram # DealershipReviews # CSIscorepic.twitter.com/hRjFAlYyMy",Neutral
50,2020-01-29,Imagine having this much money.... I was scared of my 99 jeep hitting a bump too hard https://twitter.com/DavidDobrik/status/1222022292902793217 …,Neutral
51,2020-01-25,Ill give full grown hedgehog jeep 2 rat (can change if needed),Neutral
52,2020-01-31,just give me the trophy please irs really awkward my brother is in the room rn and i jeep looking at the ass,Negative
53,2020-01-27,Going home. Detail if the flashy of a jeep net in Cebu City. A candidate for my rush hour project. # rushhour # jeepney # sign # statue # transport # philippines # cebu # cebucity # commute # streetphotography # streetlife # streetsofcebu # yourshotphotographer # nat… https://ift.tt/30UxKE8 pic.twitter.com/sVPAFPPyNg,Negative
54,2020-01-25,Red Rumpic.twitter.com/meKq9a0iIF,Neutral
55,2020-01-29,IF COLBY BROUGHT HIS 200 YEAR OLD COROLLA AGAINST A JEEP IM GONNA MOCK TF OUTA HIM pic.twitter.com/7G9IiF92RI,Negative
56,2020-01-28,"Two legendary badges going head to head. The Trail Rated badge on the Jeep # CompassTrailhawk is conferred upon the most serious Jeeps, while the GS badge on the BMW # F850GSA is legendary when it comes to off-roading on two wheels. Subscribe at http://www.gtopublishing.com pic.twitter.com/1qOzkeIujL",Positive
57,2020-01-26,"another small update, this time with a t.rex attacking a jeep. guess she doesn't really like it. pic.twitter.com/OXi2GLNnHY",Negative
58,2020-01-25,It feels really dusty while riding the jeep.,Negative
59,2020-01-24,How beautiful is the custom paint job on this Jeep Wrangler? pic.twitter.com/E63mYJ3s97,Positive
60,2020-01-24,"RT @ fwmag: With a price premium of more than $4,000, is the 2020 Jeep Wrangler Rubicon Recon worth the money? Standard rock rails, steel bumpers, and a turbo engine say, Yes."" http://bit.ly/2RJ4aNM pic.twitter.com/Ik9BeobtGu""",Neutral
61,2020-01-31,Nigha have tyrese the Jeep https://twitter.com/Fandango/status/1222574666784497664 …,Neutral
62,2020-01-31,"Geo destroyed the badges and handles, buy them back for 15,000$",Neutral
63,2020-01-26,"When the weather gets bad, we say, “Whatever. That’s why we drive a # Jeep!” https://twitter.com/SimoneAlexa/status/1220739548625481731 …",Neutral
64,2020-01-26,That gate really messed up that Jeep! # LivePD # LivePDNation,Negative
65,2020-01-24,U.S. regulator to review recommendation on Fiat Chrysler's Jeep complaint against Mahindra Source: Reuters https://thetop10news.com/2020/01/23/u-s-regulator-to-review-recommendation-on-fiat-chryslers-jeep-complaint-against-mahindra/ …,Neutral
66,2020-01-26,If I have to go 1 more weekend of sanding my jeep imma lose my shit and call it quits pic.twitter.com/QqeYH4zjnx,Negative
67,2020-01-30,昨日買い物行くのに新古中古車屋さんの前置きでちょーど信号待ちしてたのよ。ぱっと横向いたら可愛いお顔とフォルムのJeepがいて帰宅後つい検索かけちゃったよねー。,Neutral
68,2020-01-27,Jeep Cherokee 2020: Compacta y competente [fotos] https://cnetes.co/2voxbXu pic.twitter.com/rNRaHn0l27,Neutral
69,2020-01-27,"The trooper was struck by the passenger-side mirror of a dark-colored Jeep Cherokee, police say. http://via.fox43.com/1JDOC",Neutral
70,2020-01-27,2020 Mahindra Roxor UTV No Longer Looks Exactly Like a Jeep https://www.thedrive.com/news/31953/2020-mahindra-roxor-utv-no-longer-looks-exactly-like-a-jeep …,Neutral
71,2020-01-26,... the strength of street knowledge. Show me that ad! # NWA,Positive
72,2020-01-25,Is that a white jeep?,Neutral
73,2020-01-31,today I was almost hit by a car and it happened out of the bloom. Everyday is really important and you will never know when it is your time. My mind was really focused on the destination and a jeep was seconds away from hitting me.,Negative
74,2020-01-24,I was looking for jeep 4x4 meetups and camping stuff on http://meetup.com  found dis https://www.meetup.com/Cuddle-Sanctuary-Los-Angeles/events/268123518/ … I can pay $100 to cuddle with a fat man who hasn't showered in weeks,Negative
75,2020-01-31,"Ok y’all here is a story. I need y’alls advice. So I bought a car Friday, the car is a 2017 Jeep Renegade. My dream 20’s car. The Jeep has been 40k miles and has been serviced EIGHT times. Y’all EIGHT. The car also jerks really bad when changing gears (automatic not manual)",Negative
76,2020-01-26,"Au:JK meets Tae’s parents “You should really be careful with those motorcycles you drive, sweetie,” his mom scolds. Jungkook frowns. “Motorcycles, ma’am?” “We see it in the driveway at night, young man,” his dad teases. And Jungkook feels his jaw clench. Bc he drives a Jeep.",Positive
77,2020-01-25,RT @ KITV4: # UPDATE - Officials are working to remove a Jeep out of the canal. pic.twitter.com/q76SZ0IEOA,Negative
78,2020-01-26,Happy Sunday! # legendary1941 # jeeplife @ wve1022 @ Shelli69jeeper @ SolarTJChick @ XBullofficial @ JeepsGreen @ TopJeepers @ ReturnCheck @ DirtLifeApparel @ rpx53 @ agocs_jodi @ steelecreations @ 7026saki # jeep # UnitedWeWheel @ Kirby98tj @ ItsaJeepWorld @ JeepKrewe @ KrawlAmerica Bruce S.pic.twitter.com/IFJ6BJQKek,Neutral
79,2020-01-29,I shut the door on Jeep so I could pee in peace and he’s literally sitting outside whining....,Negative
80,2020-01-30,"DX drove a Jeep, actually.",Neutral
81,2020-01-30,Hook it up with a Jeep @ ThelmaZavala95,Neutral
82,2020-01-26,"That particular 8 track tape always got jammed in my tape player. On a side note, that album is now on the usb stick I play in my worksite boom box around home and in our Jeep.",Positive
83,2020-01-30,@ TheFastSaga I am so hyped right now! But why is Roman tge one driving the jeep? Shouldn't it be Tej? Then again those guys don't have specific car types.,Negative
84,2020-01-29,i’d rather walk than hop into a jeep gladiator,Negative
85,2020-01-27,"Zach, Jeep driver, country music lover Zach, loves SWS too",Positive
86,2020-01-25,2020 Jeep Gladiator vs. 2020 Ford Ranger: Compare Trucks http://www.automobilebrand.com/2020-jeep-gladiator-vs-2020-ford-ranger-compare-trucks/ …pic.twitter.com/AWCdV0qMxu,Neutral
87,2020-01-28,I slept SO much Excited to have a productive day! Lifted Jeep will be ready in the evening,Positive
88,2020-01-29,"# tiretucktuesday is the hardbody Jeep XJ of botts35 , this is another gotbottsgarage build. # tuckit # doworkdriver # recong6lifestyle # recong6 # jeepxj # jeepbeef # all4offroad # grocerygetter # jeepcherokee https://www.instagram.com/p/B742n3WgGnB/?igshid=1400v3qxg1l4m …",Neutral
89,2020-01-31,Lololololol... this Jeep is a Mandalorian trophy! Spotted in Austin. “I have spoken!” # starwars # mandalorian # ihavespoken # seetheguyonthedashboard # fanfuego # thisistheway # imjealous # writingcommunity # sawthisasimwritingfantasy # picofthedaypic.twitter.com/1FzY3R4WzC,Negative
90,2020-01-30,I remember when @ vkuznetsova13 legit picked me up from the airport in her nice warm Jeep and a pack of white claws for me to drink for the long drive home,Neutral
91,2020-01-29,This doesnt apply to jeep owners https://twitter.com/BeCogent/status/1218903330551975936 …,Neutral
92,2020-01-28,Colored Canyon & Blue Hole Jeep Safari http://bit.ly/2r5YQXu # Sharm # Sinai # Sharmelsheikh # Redsea # Egypt # Travel # SinaiSharm,Neutral
93,2020-01-24,[INFO]EU finds Jeep Grand Cherokee and Suzuki Vitara break emissions rules http://dlvr.it/RNccQw pic.twitter.com/1jwDe6MXb8,Neutral
94,2020-01-27,"Inside and out, the Sterling Automotive Jeep Wrangler takes the American icon and injects the vehicle with contemporary British styling"" - Sterling Automotive pic.twitter.com/q8r2QImHRi""",Neutral
95,2020-01-24,all is fair in love and in war pagsakay sa msu jeep is war all is fair in pagsakay sa msu jeep,Neutral
96,2020-01-26,at this hour waiting for a jeep to explore the city. – bei Paseo Arcenas,Neutral
97,2020-01-26,SAYOHA NAKO NAKA SALA OY HAHAHAHA SHET NATAMAKAN NAKO SI KUYA SA JEEP NYA NAKA COMBAT KO HAHAHAHAHA AY SORRY LORD,Positive
98,2020-01-31,Lmao I’m fucking dying at how you know tyrese annoyed everyone with this bitches that they gave him a fucking Jeep Wrangler,Negative
99,2020-01-25,Jeep Men s Ski Slopestyle Elimination Live HD > FACEBOOK LIVE X GAME> @@X Games Aspen 2020 LIVE HD StreaM @@@X Games Norway 2020 Live StreaM @@https://hdtv4k.com/jeep-men-s-ski-slopestyle-elimination-live-hd-facebook-live-x-game-x-games-aspen-2020-live-hd-stream-x-games-norway-2020-live-stream-jeep-men-s-ski-slopestyle-elimination-live-hd-face/ …,Neutral
100,2020-01-31,@ thenoelmiller so are you going to use the RC Jeep in your next music video?,Neutral
101,2020-01-24,Lowkey imma save up to get myself a Jeep,Neutral
102,2020-01-31,they gave tyrese a jeep https://twitter.com/Fandango/status/1222574666784497664 …,Neutral
103,2020-01-30,Better than the DX Jeep,Positive
104,2020-01-27,"First day, now a work in progress... # jeep pic.twitter.com/xiduhNBoG4",Negative
105,2020-01-24,Facts!! Wheres lupi in the jeep ?,Neutral
106,2020-01-24,I have 2 cousins who actually work at Jeep and are set for life lowkey wish I would’ve done it too.,Positive
107,2020-01-24,"Suzuki, Jeep diesel models found to have broken European emissions rules – fix or face EU ban pic.twitter.com/Q7AjpDW40N",Negative
108,2020-01-28,Men gotta stop getting hard for that new Jeep and start getting hard for their lady.,Negative
109,2020-01-30,この季節、大活躍中のJKくん # willys # m38 # military # jeep # us # mb # GPW # marines # army # ウィリス # ウイリス # ジープ # アメリカ # 海兵隊 # جيب --\°llllll°/-- # 지프 # 吉普车 # J3 # mb # wrangler # jk # jl # forest # forestservice # ラングラー # 森林警備隊 https://www.instagram.com/p/B76nEGzn-UJ/?igshid=10zg3dmnq7hbu …,Neutral
110,2020-01-30,AYOKO MALATE!!!!!! ANTAGAL NG JEEP DITO SA MARKET!!!!,Neutral
111,2020-01-27,who tf drives a mf jeep thinking hes stiles stilinski or smth smh https://twitter.com/suninhersmile/status/1221224826481926144 …,Neutral
112,2020-01-25,Someone seriously just crashed my Jeep wth I just got it,Negative
113,2020-01-31,"Maybe just one jeep, a lifted white rubicon!",Neutral
114,2020-01-26,Pussy to good I just might buy her a Jeep,Neutral
115,2020-01-31,Messing around with the Necrophonic in the jeep at the store https://youtu.be/dELAGhJ7wv0  via @ YouTube,Neutral
116,2020-01-30,I want a Honda or a Jeep,Neutral
117,2020-01-28,Jeep that same energy,Negative
118,2020-01-28,Man it don’t even move the needle in the Jeep. Gas light still be on.,Negative
119,2020-01-31,かもん,Neutral
120,2020-01-25,My Jeep should be ready Tuesday,Neutral
121,2020-01-30,I'm afraid coz we're having our RLE duties right now. And I'm assigned to out-patient department nagpanic nako like srsly kay amo usa ka cm naka encounter silag chinese nga musakay untag jeep but since she looks so sick wala nila gipasakay. https://twitter.com/youniversebngtn/status/1222814873777664001 …,Neutral
122,2020-01-29,# courchevel # 3vallees # jeep # offroad # 4x4 # snow # weather # snowdump # skiresort # travel # homevisit # chalet # luxurychalet # road # physio # physiotherapy # physiotherapist # osteo # osteopath # osteopathy # naturopath http://www.myfrenchphysio.com # mountain # alps # powder # ready # motivation # motivpic.twitter.com/igwfEVZRnF,Neutral
123,2020-01-31,And if I get a truck instead of a Jeep,Neutral
124,2020-01-29,"Beep beep, who got they keys to tha Jeep…… Vrrooooooommmm",Positive
125,2020-01-29,I need a Jasmin & Jeep day cos my baby is a mess!,Neutral
