,date,text,sentiment
0,2020-01-31,Yes pls. Or make a bad ass Corolla hatch turbo. Either way.,Negative
1,2020-01-24,Bet that death star Toyota corolla hybrid looks great,Positive
2,2020-01-31,A style that captivates all. # Corolla # Hybrid # LetsGoPlaces . Visit South Toyota at http://tinyurl.com/y2tzy2s9  http://tinyurl.com/rnxwduh pic.twitter.com/Z8Zj5bxyqs,Neutral
3,2020-01-31,"Toyota, lol",Neutral
4,2020-01-25,Who is the sole distributor of TOYOTA vehicles in Nigeria? The person may know more about Boko Haram.,Neutral
5,2020-01-30,"I'm at 豊田市駅(東口)バス停 in Toyota, Aichi https://www.swarmapp.com/c/8NPCblZIDvL",Neutral
6,2020-01-27,If you're taking a loan I recommend a highly rated credit union in your area as they usually have better terms and interest rates. Toyotas/Subarus/Hondas are great value cars. My Camry lasted me to 240k miles. Always have a third party mechanic look at the car before purchase.,Negative
7,2020-01-26,ですよね,Neutral
8,2020-01-30,Abreu Makes It Three In A Row For Toyota At Chili Bowl . Visit Toyota of Warren at http://tinyurl.com/yxvj4rua  http://tinyurl.com/vc3splm,Neutral
9,2020-01-25,Prayers for automakers? Faith voices at # DCAutoShow call on @ Toyota @ GM @ FiatChrysler_NA who are siding with Trump's Clean Air Act attack to consider the moral implications of making more polluting cars that harm most vulnerable @ interfaithpower -https://www.latimes.com/business/autos/story/2020-01-23/auto-makers-trump-face-new-pressure-not-to-ease-mileage-rules …,Negative
10,2020-01-29,Kenyan logistics startup Sendy raises $20M round backed by Toyota http://dlvr.it/RNyLp6 pic.twitter.com/BIdmQKCtwC,Neutral
11,2020-01-28,"2020 Toyota Sienna at Puente Hills Toyota. Servicing Claremont, West Covina, Diamondbar, Rowland Hei https://dougleschan.com/aircon-servicing-singapore/2020-toyota-sienna-at-puente-hills-toyota-servicing-claremont-west-covina-diamondbar-rowland-hei/ …",Neutral
12,2020-01-28,# Pushingthelimitsforbetter,Positive
13,2020-01-30,Toyota released their new hydrogen-powered sedan and it is awesome! Only problem is...where will you charge it? http://ow.ly/mZVp50y307q # toyotamirai # hydrogenfuelcell # tech # auto,Positive
